Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"KR.36_Pos","DB704.DBD2816",Float,1,R/W,100,,,,,,,,,,"",

"KR.37_Stat","DB704.DBW2892",Word,1,R/W,100,,,,,,,,,,"",
"KR.37_Pos","DB704.DBD2896",Float,1,R/W,100,,,,,,,,,,"",

"KR.38_Stat","DB704.DBW2972",Word,1,R/W,100,,,,,,,,,,"",
"KR.38_Pos","DB704.DBD2976",Float,1,R/W,100,,,,,,,,,,"",

"KR.39_Stat","DB704.DBW3052",Word,1,R/W,100,,,,,,,,,,"",
"KR.39_Pos","DB704.DBD3056",Float,1,R/W,100,,,,,,,,,,"",

"KR.40_Stat","DB704.DBW3132",Word,1,R/W,100,,,,,,,,,,"",
"KR.40_Pos","DB704.DBD3136",Float,1,R/W,100,,,,,,,,,,"",

"KR.41_Stat","DB704.DBW3212",Word,1,R/W,100,,,,,,,,,,"",
"KR.41_Pos","DB704.DBD3216",Float,1,R/W,100,,,,,,,,,,"",

"KR.42_Stat","DB704.DBW3292",Word,1,R/W,100,,,,,,,,,,"",
"KR.42_Pos","DB704.DBD3296",Float,1,R/W,100,,,,,,,,,,"",

"KR.43_Stat","DB704.DBW3372",Word,1,R/W,100,,,,,,,,,,"",
"KR.43_Pos","DB704.DBD3376",Float,1,R/W,100,,,,,,,,,,"",

"KR.44_Stat","DB704.DBW3452",Word,1,R/W,100,,,,,,,,,,"",
"KR.44_Pos","DB704.DBD3456",Float,1,R/W,100,,,,,,,,,,"",

"KR.45_Stat","DB704.DBW3532",Word,1,R/W,100,,,,,,,,,,"",
"KR.45_Pos","DB704.DBD3536",Float,1,R/W,100,,,,,,,,,,"",

