Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"KR.24_PosSP","DB704.DBD2320",Float,1,R/W,100,,,,,,,,,,"",
"KR.25_StatCMD","DB704.DBW2412",Word,1,R/W,100,,,,,,,,,,"",
"KR.25_Pos","DB704.DBD2416",Float,1,R/W,100,,,,,,,,,,"",
"KR.25_PosSP","DB704.DBD2420",Float,1,R/W,100,,,,,,,,,,"",
"KR.26_StatCMD","DB704.DBW2512",Word,1,R/W,100,,,,,,,,,,"",
"KR.26_Pos","DB704.DBD2516",Float,1,R/W,100,,,,,,,,,,"",
"KR.26_PosSP","DB704.DBD2520",Float,1,R/W,100,,,,,,,,,,"",
"KR.27_StatCMD","DB704.DBW2612",Word,1,R/W,100,,,,,,,,,,"",
"KR.27_Pos","DB704.DBD2616",Float,1,R/W,100,,,,,,,,,,"",
"KR.27_PosSP","DB704.DBD2620",Float,1,R/W,100,,,,,,,,,,"",
"KR.28_StatCMD","DB704.DBW2712",Word,1,R/W,100,,,,,,,,,,"",
"KR.28_Pos","DB704.DBD2716",Float,1,R/W,100,,,,,,,,,,"",
"KR.28_PosSP","DB704.DBD2720",Float,1,R/W,100,,,,,,,,,,"",
"KR.29_StatCMD","DB704.DBW2812",Word,1,R/W,100,,,,,,,,,,"",
"KR.29_Pos","DB704.DBD2816",Float,1,R/W,100,,,,,,,,,,"",
"KR.29_PosSP","DB704.DBD2820",Float,1,R/W,100,,,,,,,,,,"",
"KR.30_StatCMD","DB704.DBW2912",Word,1,R/W,100,,,,,,,,,,"",
"KR.30_Pos","DB704.DBD2916",Float,1,R/W,100,,,,,,,,,,"",
"KR.30_PosSP","DB704.DBD2920",Float,1,R/W,100,,,,,,,,,,"",
"KR.31_StatCMD","DB704.DBW3012",Word,1,R/W,100,,,,,,,,,,"",
"KR.31_Pos","DB704.DBD3016",Float,1,R/W,100,,,,,,,,,,"",
"KR.31_PosSP","DB704.DBD3020",Float,1,R/W,100,,,,,,,,,,"",
"KR.32_StatCMD","DB704.DBW3112",Word,1,R/W,100,,,,,,,,,,"",
"KR.32_Pos","DB704.DBD3116",Float,1,R/W,100,,,,,,,,,,"",
"KR.32_PosSP","DB704.DBD3120",Float,1,R/W,100,,,,,,,,,,"",
"KR.33_StatCMD","DB704.DBW3212",Word,1,R/W,100,,,,,,,,,,"",
"KR.33_Pos","DB704.DBD3216",Float,1,R/W,100,,,,,,,,,,"",
"KR.33_PosSP","DB704.DBD3220",Float,1,R/W,100,,,,,,,,,,"",
"KR.34_StatCMD","DB704.DBW3312",Word,1,R/W,100,,,,,,,,,,"",
"KR.34_Pos","DB704.DBD3316",Float,1,R/W,100,,,,,,,,,,"",
"KR.34_PosSP","DB704.DBD3320",Float,1,R/W,100,,,,,,,,,,"",
"KR.35_StatCMD","DB704.DBW3412",Word,1,R/W,100,,,,,,,,,,"",
"KR.35_Pos","DB704.DBD3416",Float,1,R/W,100,,,,,,,,,,"",
"KR.35_PosSP","DB704.DBD3420",Float,1,R/W,100,,,,,,,,,,"",
"KR.36_StatCMD","DB704.DBW3512",Word,1,R/W,100,,,,,,,,,,"",
"KR.36_Pos","DB704.DBD3516",Float,1,R/W,100,,,,,,,,,,"",
"KR.36_PosSP","DB704.DBD3520",Float,1,R/W,100,,,,,,,,,,"",
"KR.37_StatCMD","DB704.DBW3612",Word,1,R/W,100,,,,,,,,,,"",
"KR.37_Pos","DB704.DBD3616",Float,1,R/W,100,,,,,,,,,,"",
"KR.37_PosSP","DB704.DBD3620",Float,1,R/W,100,,,,,,,,,,"",
"KR.38_StatCMD","DB704.DBW3712",Word,1,R/W,100,,,,,,,,,,"",
"KR.38_Pos","DB704.DBD3716",Float,1,R/W,100,,,,,,,,,,"",
"KR.38_PosSP","DB704.DBD3720",Float,1,R/W,100,,,,,,,,,,"",
"KR.39_StatCMD","DB704.DBW3812",Word,1,R/W,100,,,,,,,,,,"",
"KR.39_Pos","DB704.DBD3816",Float,1,R/W,100,,,,,,,,,,"",
"KR.39_PosSP","DB704.DBD3820",Float,1,R/W,100,,,,,,,,,,"",
"KR.40_StatCMD","DB704.DBW3912",Word,1,R/W,100,,,,,,,,,,"",
"KR.40_Pos","DB704.DBD3916",Float,1,R/W,100,,,,,,,,,,"",
"KR.40_PosSP","DB704.DBD3920",Float,1,R/W,100,,,,,,,,,,"",
"KR.41_StatCMD","DB704.DBW4012",Word,1,R/W,100,,,,,,,,,,"",
"KR.41_Pos","DB704.DBD4016",Float,1,R/W,100,,,,,,,,,,"",
"KR.41_PosSP","DB704.DBD4020",Float,1,R/W,100,,,,,,,,,,"",
"KR.42_StatCMD","DB704.DBW4112",Word,1,R/W,100,,,,,,,,,,"",
"KR.42_Pos","DB704.DBD4116",Float,1,R/W,100,,,,,,,,,,"",
"KR.42_PosSP","DB704.DBD4120",Float,1,R/W,100,,,,,,,,,,"",
"KR.43_StatCMD","DB704.DBW4212",Word,1,R/W,100,,,,,,,,,,"",
"KR.43_Pos","DB704.DBD4216",Float,1,R/W,100,,,,,,,,,,"",
"KR.43_PosSP","DB704.DBD4220",Float,1,R/W,100,,,,,,,,,,"",
"KR.44_StatCMD","DB704.DBW4312",Word,1,R/W,100,,,,,,,,,,"",
"KR.44_Pos","DB704.DBD4316",Float,1,R/W,100,,,,,,,,,,"",
"KR.44_PosSP","DB704.DBD4320",Float,1,R/W,100,,,,,,,,,,"",
"KR.45_StatCMD","DB704.DBW4412",Word,1,R/W,100,,,,,,,,,,"",
"KR.45_Pos","DB704.DBD4416",Float,1,R/W,100,,,,,,,,,,"",
"KR.45_PosSP","DB704.DBD4420",Float,1,R/W,100,,,,,,,,,,"",
