Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"DO.18_Val","DB705.DBX102.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.18_Nch","DB705.INT104",Word,1,R/W,100,,,,,,,,,,"",
"DO.18_ImitOn","DB705.DBX106.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.18_ImitOff","DB705.DBX106.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.19_Val","DB705.DBX108.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.19_Nch","DB705.INT110",Word,1,R/W,100,,,,,,,,,,"",
"DO.19_ImitOn","DB705.DBX112.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.19_ImitOff","DB705.DBX112.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.20_Val","DB705.DBX114.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.20_Nch","DB705.INT116",Word,1,R/W,100,,,,,,,,,,"",
"DO.20_ImitOn","DB705.DBX118.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.20_ImitOff","DB705.DBX118.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.21_Val","DB705.DBX120.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.21_Nch","DB705.INT122",Word,1,R/W,100,,,,,,,,,,"",
"DO.21_ImitOn","DB705.DBX124.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.21_ImitOff","DB705.DBX124.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.22_Val","DB705.DBX126.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.22_Nch","DB705.INT128",Word,1,R/W,100,,,,,,,,,,"",
"DO.22_ImitOn","DB705.DBX130.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.22_ImitOff","DB705.DBX130.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.23_Val","DB705.DBX132.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.23_Nch","DB705.INT134",Word,1,R/W,100,,,,,,,,,,"",
"DO.23_ImitOn","DB705.DBX136.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.23_ImitOff","DB705.DBX136.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.24_Val","DB705.DBX138.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.24_Nch","DB705.INT140",Word,1,R/W,100,,,,,,,,,,"",
"DO.24_ImitOn","DB705.DBX142.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.24_ImitOff","DB705.DBX142.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.25_Val","DB705.DBX144.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.25_Nch","DB705.INT146",Word,1,R/W,100,,,,,,,,,,"",
"DO.25_ImitOn","DB705.DBX148.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.25_ImitOff","DB705.DBX148.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.26_Val","DB705.DBX150.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.26_Nch","DB705.INT152",Word,1,R/W,100,,,,,,,,,,"",
"DO.26_ImitOn","DB705.DBX154.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.26_ImitOff","DB705.DBX154.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.27_Val","DB705.DBX156.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.27_Nch","DB705.INT158",Word,1,R/W,100,,,,,,,,,,"",
"DO.27_ImitOn","DB705.DBX160.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.27_ImitOff","DB705.DBX160.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.28_Val","DB705.DBX162.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.28_Nch","DB705.INT164",Word,1,R/W,100,,,,,,,,,,"",
"DO.28_ImitOn","DB705.DBX166.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.28_ImitOff","DB705.DBX166.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.29_Val","DB705.DBX168.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.29_Nch","DB705.INT170",Word,1,R/W,100,,,,,,,,,,"",
"DO.29_ImitOn","DB705.DBX172.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.29_ImitOff","DB705.DBX172.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.30_Val","DB705.DBX174.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.30_Nch","DB705.INT176",Word,1,R/W,100,,,,,,,,,,"",
"DO.30_ImitOn","DB705.DBX178.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.30_ImitOff","DB705.DBX178.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.31_Val","DB705.DBX180.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.31_Nch","DB705.INT182",Word,1,R/W,100,,,,,,,,,,"",
"DO.31_ImitOn","DB705.DBX184.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.31_ImitOff","DB705.DBX184.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.32_Val","DB705.DBX186.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.32_Nch","DB705.INT188",Word,1,R/W,100,,,,,,,,,,"",
"DO.32_ImitOn","DB705.DBX190.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.32_ImitOff","DB705.DBX190.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.33_Val","DB705.DBX192.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.33_Nch","DB705.INT194",Word,1,R/W,100,,,,,,,,,,"",
"DO.33_ImitOn","DB705.DBX196.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.33_ImitOff","DB705.DBX196.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.34_Val","DB705.DBX198.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.34_Nch","DB705.INT200",Word,1,R/W,100,,,,,,,,,,"",
"DO.34_ImitOn","DB705.DBX202.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.34_ImitOff","DB705.DBX202.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.35_Val","DB705.DBX204.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.35_Nch","DB705.INT206",Word,1,R/W,100,,,,,,,,,,"",
"DO.35_ImitOn","DB705.DBX208.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.35_ImitOff","DB705.DBX208.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.36_Val","DB705.DBX210.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.36_Nch","DB705.INT212",Word,1,R/W,100,,,,,,,,,,"",
"DO.36_ImitOn","DB705.DBX214.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.36_ImitOff","DB705.DBX214.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.37_Val","DB705.DBX216.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.37_Nch","DB705.INT218",Word,1,R/W,100,,,,,,,,,,"",
"DO.37_ImitOn","DB705.DBX220.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.37_ImitOff","DB705.DBX220.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.38_Val","DB705.DBX222.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.38_Nch","DB705.INT224",Word,1,R/W,100,,,,,,,,,,"",
"DO.38_ImitOn","DB705.DBX226.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.38_ImitOff","DB705.DBX226.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.39_Val","DB705.DBX228.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.39_Nch","DB705.INT230",Word,1,R/W,100,,,,,,,,,,"",
"DO.39_ImitOn","DB705.DBX232.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.39_ImitOff","DB705.DBX232.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.40_Val","DB705.DBX234.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.40_Nch","DB705.INT236",Word,1,R/W,100,,,,,,,,,,"",
